"","id","time","value"
"1","seasonal",1991-07-01 03:18:27,34.5575249275379
"2","seasonal",1991-07-02 13:01:32,45.3396866969931
"3","seasonal",1991-07-03 22:44:38,50.5870493083795
"4","seasonal",1991-07-05 08:27:43,56.4373963041775
"5","seasonal",1991-07-06 18:10:48,57.1559756285339
"6","seasonal",1991-07-08 03:53:53,59.1623005941309
"7","seasonal",1991-07-09 13:36:59,55.4267119513932
"8","seasonal",1991-07-10 23:20:04,69.0305571737041
"9","seasonal",1991-07-12 09:03:09,85.9674793207581
"10","seasonal",1991-07-13 18:46:15,96.0833927675613
"11","seasonal",1991-07-15 04:29:20,102.18088012801
"12","seasonal",1991-07-16 14:12:25,104.434261091134
"13","seasonal",1991-07-17 23:55:30,108.890106093346
"14","seasonal",1991-07-19 09:38:36,99.3147646876779
"15","seasonal",1991-07-20 19:21:41,107.353469849379
"16","seasonal",1991-07-22 05:04:46,111.142263714969
"17","seasonal",1991-07-23 14:47:51,109.709147737809
"18","seasonal",1991-07-25 00:30:57,116.443476007136
"19","seasonal",1991-07-26 10:14:02,110.432052683204
"20","seasonal",1991-07-27 19:57:07,107.271134030471
"21","seasonal",1991-07-29 05:40:12,113.315356151477
"22","seasonal",1991-07-30 15:23:18,134.016316182011
"23","seasonal",1991-08-01 01:06:23,125.48333707798
"24","seasonal",1991-08-02 10:49:28,109.278337882258
"25","seasonal",1991-08-03 20:32:33,110.639941761221
"26","seasonal",1991-08-05 06:15:39,93.2546358580744
"27","seasonal",1991-08-06 15:58:44,96.4497117832736
"28","seasonal",1991-08-08 01:41:49,111.913613519564
"29","seasonal",1991-08-09 11:24:54,109.983675554001
"30","seasonal",1991-08-10 21:08:00,99.2492411067931
"31","seasonal",1991-08-12 06:51:05,77.3010545911519
"32","seasonal",1991-08-13 16:34:10,68.9107186893325
"33","seasonal",1991-08-15 02:17:16,62.5288654502344
"34","seasonal",1991-08-16 12:00:21,60.4774692157997
"35","seasonal",1991-08-17 21:43:26,54.3395083426835
"36","seasonal",1991-08-19 07:26:31,10.5061642400273
"37","seasonal",1991-08-20 17:09:37,4.3243854476101
"38","seasonal",1991-08-22 02:52:42,11.3955607399765
"39","seasonal",1991-08-23 12:35:47,0.0545126139370193
"40","seasonal",1991-08-24 22:18:52,1.49537801551189
"41","seasonal",1991-08-26 08:01:58,6.58143944988024
"42","seasonal",1991-08-27 17:45:03,17.854987226997
"43","seasonal",1991-08-29 03:28:08,26.1213404284873
"44","seasonal",1991-08-30 13:11:13,25.9511950609102
"45","seasonal",1991-08-31 22:54:19,18.4740241545304
"46","seasonal",1991-09-02 08:37:24,20.0751522231184
"47","seasonal",1991-09-03 18:20:29,4.67335759699801
"48","seasonal",1991-09-05 04:03:34,2.37283584494919
"49","seasonal",1991-09-06 13:46:40,-13.6516746872383
"50","seasonal",1991-09-07 23:29:45,-14.5284213560121
"51","seasonal",1991-09-09 09:12:50,-7.47021391336013
"52","seasonal",1991-09-10 18:55:55,-2.76370503471359
"53","seasonal",1991-09-12 04:39:01,-14.8412350273575
"54","seasonal",1991-09-13 14:22:06,-9.56294894861222
"55","seasonal",1991-09-15 00:05:11,-15.0102365454771
"56","seasonal",1991-09-16 09:48:17,2.99323616066902
"57","seasonal",1991-09-17 19:31:22,-3.03261169670548
"58","seasonal",1991-09-19 05:14:27,-18.0598950965917
"59","seasonal",1991-09-20 14:57:32,-34.1514739888388
"60","seasonal",1991-09-22 00:40:38,-43.4546957625297
"61","seasonal",1991-09-23 10:23:43,-34.5692463812831
"62","seasonal",1991-09-24 20:06:48,-23.8551118272463
"63","seasonal",1991-09-26 05:49:53,-36.0435643835387
"64","seasonal",1991-09-27 15:32:59,-36.8407491903021
"65","seasonal",1991-09-29 01:16:04,-51.6383745186821
"66","seasonal",1991-09-30 10:59:09,-47.277984292907
"67","seasonal",1991-10-01 20:42:14,-43.3607125568651
"68","seasonal",1991-10-03 06:25:20,-41.8399129775295
"69","seasonal",1991-10-04 16:08:25,-55.9541062091644
"70","seasonal",1991-10-06 01:51:30,-54.2791397461492
"71","seasonal",1991-10-07 11:34:35,-70.6601597148315
"72","seasonal",1991-10-08 21:17:41,-62.0425375787586
"73","seasonal",1991-10-10 07:00:46,-46.4781000355533
"74","seasonal",1991-10-11 16:43:51,-46.4889634336686
"75","seasonal",1991-10-13 02:26:56,-43.5693363682223
"76","seasonal",1991-10-14 12:10:02,-29.7248312612244
"77","seasonal",1991-10-15 21:53:07,-25.3737914281131
"78","seasonal",1991-10-17 07:36:12,-40.6566200033386
